Region,Country,March_2026,Share_Pct,March_2025,YoY_Change_Pct,March_2019,vs_2019_Change_Pct
SOUTH ASIA (SAARC),Bangladesh,4676,3.9,3576,30.8,2072,125.7
SOUTH ASIA (SAARC),Bhutan,1308,1.1,1072,22.0,516,153.5
SOUTH ASIA (SAARC),India,25728,21.3,21412,20.2,18256,40.9
SOUTH ASIA (SAARC),Pakistan,197,0.2,341,-42.2,309,-36.2
SOUTH ASIA (SAARC),Srilanka,10759,8.9,8886,21.1,10835,-0.7
ASIA (OTHER),Cambodia,182,0.2,74,145.9,58,213.8
ASIA (OTHER),China,11220,9.3,11443,-1.9,17398,-35.5
ASIA (OTHER),Indonesia,601,0.5,589,2.0,558,7.7
ASIA (OTHER),Japan,3008,2.5,2948,2.0,3692,-18.5
ASIA (OTHER),Malaysia,3084,2.6,2380,29.6,2160,42.8
ASIA (OTHER),Myanmar,6020,5.0,3754,60.4,7290,-17.4
ASIA (OTHER),Philippines,413,0.3,506,-18.4,502,-17.7
ASIA (OTHER),Singapore,1102,0.9,1044,5.6,581,89.7
ASIA (OTHER),S. Korea,2117,1.8,2182,-3.0,3297,-35.8
ASIA (OTHER),Vietnam,1792,1.5,1445,24.0,1212,47.9
ASIA (OTHER),Thailand,3897,3.2,4986,-21.8,6112,-36.2
EUROPE,Austria,418,0.3,516,-19.0,578,-10.7
EUROPE,Belgium,654,0.5,743,-12.0,642,15.7
EUROPE,Czech Republic,254,0.2,549,-53.7,582,-5.7
EUROPE,Denmark,580,0.5,554,4.7,613,-9.6
EUROPE,Finland,213,0.2,172,23.8,258,-33.3
EUROPE,France,2288,1.9,3280,-30.2,3534,-7.2
EUROPE,Germany,4086,3.4,4709,-13.2,5589,-15.7
EUROPE,Ireland,296,0.2,317,-6.6,346,-8.4
EUROPE,Italy,1207,1.0,1393,-13.4,1483,-6.1
EUROPE,The Netherlands,1335,1.1,1518,-12.1,1844,-17.7
EUROPE,Norway,246,0.2,331,-25.7,379,-12.7
EUROPE,Poland,452,0.4,1217,-62.9,820,48.4
EUROPE,Portugal,379,0.3,380,-0.3,237,60.3
EUROPE,Russia,1676,1.4,1606,4.4,1262,27.3
EUROPE,Spain,833,0.7,1014,-17.9,1135,-10.7
EUROPE,Sweden,366,0.3,385,-4.9,564,-31.7
EUROPE,Switzerland,606,0.5,757,-19.9,777,-2.6
EUROPE,Ukraine,173,0.1,306,-43.5,378,-19.0
EUROPE,U.K.,4814,4.0,5995,-19.7,6702,-10.5
OCEANIA,Australia,4845,4.0,4228,14.6,3275,29.1
OCEANIA,New Zealand,380,0.3,415,-8.4,364,14.0
AMERICAS,Brazil,326,0.3,452,-27.9,327,38.2
AMERICAS,Canada,1799,1.5,2139,-15.9,2196,-2.6
AMERICAS,Mexico,275,0.2,224,22.8,263,-14.8
AMERICAS,U.S.A.,7974,6.6,11092,-28.1,9450,17.4
MIDDLE EAST,Isreal,1182,1.0,1725,-31.5,1083,59.3
MIDDLE EAST,Kuwait,0,0.0,50,-100.0,44,13.6
MIDDLE EAST,Oman,4,0.0,6,-33.3,49,-87.8
MIDDLE EAST,Qatar,5,0.0,4,25.0,30,-86.7
MIDDLE EAST,Saudi Arabia,41,0.0,68,-39.7,100,-32.0
MIDDLE EAST,Turkey,461,0.4,852,-45.9,754,13.0
MIDDLE EAST,UAE,25,0.0,27,-7.4,75,-64.0
AFRICA,Egypt,64,0.1,119,-46.2,107,11.2
AFRICA,Morocco,48,0.0,56,-14.3,45,24.4
AFRICA,South Africa,149,0.1,193,-22.8,264,-26.9
OTHERS,Others,5958,4.9,7657,-22.2,6354,20.5
