Rank,Region,Country,March_2026,Share_Pct,March_2025,YoY_Change_Pct,March_2019,vs_2019_Change_Pct
1,SOUTH ASIA (SAARC),India,25728,21.3,21412,20.2,18256,40.9
2,ASIA (OTHER),China,11220,9.3,11443,-1.9,17398,-35.5
3,SOUTH ASIA (SAARC),Srilanka,10759,8.9,8886,21.1,10835,-0.7
4,AMERICAS,U.S.A.,7974,6.6,11092,-28.1,9450,17.4
5,ASIA (OTHER),Myanmar,6020,5.0,3754,60.4,7290,-17.4
6,OCEANIA,Australia,4845,4.0,4228,14.6,3275,29.1
7,EUROPE,U.K.,4814,4.0,5995,-19.7,6702,-10.5
8,SOUTH ASIA (SAARC),Bangladesh,4676,3.9,3576,30.8,2072,125.7
9,EUROPE,Germany,4086,3.4,4709,-13.2,5589,-15.7
10,ASIA (OTHER),Thailand,3897,3.2,4986,-21.8,6112,-36.2
